actual,predicted,residual
148000.0,126292.20192578979,-21707.798074210208
230000.0,218566.79107021829,-11433.208929781715
148000.0,126081.74315765795,-21918.256842342045
65000.0,71542.98571376852,6542.985713768518
137000.0,129680.22403032632,-7319.775969673676
135000.0,145046.22188190516,10046.221881905163
82000.0,65723.57148124115,-16276.428518758854
93000.0,79875.56894200122,-13124.43105799878
129500.0,107713.16116454866,-21786.838835451344
65000.0,68830.02859339758,3830.028593397583
62000.0,73393.53466666718,11393.534666667183
92000.0,95553.890115339,3553.8901153390034
150000.0,128714.95738657574,-21285.04261342426
60000.0,79027.74948253442,19027.74948253442
63000.0,69662.04065529858,6662.0406552985805
148000.0,156993.50414441645,8993.504144416453
65000.0,69776.24022628495,4776.24022628495
116000.0,133471.3393507876,17471.339350787603
120000.0,70049.51989708352,-49950.48010291648
138000.0,116531.36065796154,-21468.639342038456
120000.0,94828.47055872911,-25171.52944127089
77000.0,88496.91429801963,11496.914298019634
110000.0,117322.55961361834,7322.559613618345
76000.0,80107.19995517068,4107.199955170683
77000.0,83808.11875528563,6808.118755285628
142000.0,124154.81002560275,-17845.189974397246
75000.0,91366.50629733907,16366.506297339074
75000.0,90145.26554902073,15145.265549020725
135000.0,56150.7489891791,-78849.25101082091
189000.0,163081.5076167472,-25918.4923832528
69000.0,76865.34780589661,7865.347805896614
130000.0,104724.85812003966,-25275.14187996034
190000.0,157091.12641093732,-32908.873589062685
61000.0,74053.6962986118,13053.696298611801
80000.0,79412.06998790166,-587.9300120983389
59000.0,50691.19767113219,-8308.802328867809
46000.0,50108.55355358628,4108.55355358628
94000.0,97456.35472081041,3456.3547208104137
100000.0,80755.42336147488,-19244.57663852512
83000.0,90647.46576183503,7647.465761835032
93000.0,105247.1487354783,12247.148735478302
92000.0,100990.85920884024,8990.859208840237
118000.0,115341.86092547922,-2658.1390745207755
160000.0,162256.45736034907,2256.4573603490717
70000.0,55836.3471775687,-14163.6528224313
111000.0,92544.65326078501,-18455.34673921499
184300.0,161057.6311835774,-23242.36881642259
157000.0,150337.30542434542,-6662.694575654576
176000.0,188464.06157123353,12464.061571233528
147500.0,154001.9752513314,6501.9752513314015
70000.0,63343.23833213351,-6656.761667866493
175000.0,181150.58341904293,6150.5834190429305
92000.0,125925.21960036828,33925.21960036828
85000.0,91003.89891210581,6003.898912105811
198000.0,119772.15964411429,-78227.84035588571
246000.0,234341.93003688988,-11658.069963110116
144000.0,106502.694575099,-37497.305424901
67000.0,74414.8648620477,7414.864862047703
168000.0,237283.3910679205,69283.39106792049
66000.0,83288.8731684038,17288.873168403807
165000.0,167455.47439467153,2455.4743946715316
92000.0,102040.6382842355,10040.638284235494
65000.0,43852.71620839016,-21147.283791609843
68000.0,66761.68486477068,-1238.3151352293207
65000.0,64121.95685414041,-878.0431458595922
162000.0,167928.73073247288,5928.730732472875
99000.0,87178.92259640746,-11821.077403592542
130000.0,107941.96818511472,-22058.031814885282
51000.0,52522.06938945874,1522.0693894587384
89000.0,95141.91027581342,6141.910275813425
77000.0,89070.17037319022,12070.170373190223
65000.0,68699.14958918092,3699.1495891809172
75000.0,92301.09577504681,17301.095775046808
88000.0,93536.00004219559,5536.000042195592
78000.0,93566.93328991055,15566.93328991055
200000.0,226046.6480151233,26046.648015123297
80000.0,86977.35898864556,6977.358988645559
55000.0,51183.22999416487,-3816.770005835133
96000.0,70192.29584385689,-25807.70415614311
152000.0,136026.6925590018,-15973.307440998207
60000.0,76735.37442108837,16735.374421088374
82000.0,90647.89017415662,8647.890174156622
135000.0,117593.5232858391,-17406.476714160905
32000.0,21602.367615740164,-10397.632384259836
60000.0,62018.99001053629,2018.9900105362904
80000.0,73679.2281423976,-6320.771857602405
135000.0,55368.965077221175,-79631.03492277882
90000.0,89327.62307665638,-672.3769233436178
103000.0,98287.71481805737,-4712.285181942629
106000.0,106696.24554476066,696.2455447606626
120000.0,118146.80307792804,-1853.196922071962
54000.0,59452.10471830455,5452.104718304552
59000.0,75616.82381839886,16616.823818398858
114000.0,128997.8842327732,14997.884232773198
90000.0,105659.88737204396,15659.887372043959
80000.0,85078.36592794837,5078.365927948369
74000.0,86641.77056845221,12641.770568452208
80000.0,92743.16973609428,12743.169736094278
179000.0,167751.2972229167,-11248.702777083294
102000.0,99356.44738990367,-2643.5526100963325
69000.0,53371.005095835404,-15628.994904164596
156000.0,170135.76569065283,14135.765690652828
94000.0,124532.14240261022,30532.142402610218
82000.0,79100.81338659293,-2899.1866134070733
63000.0,72336.49598403132,9336.495984031324
138000.0,149727.86091619238,11727.860916192381
195000.0,205688.46480118012,10688.464801180118
120000.0,93777.1402880667,-26222.8597119333
66900.0,66668.07160884989,-231.92839115011157
96000.0,95473.94762938192,-526.0523706180829
75000.0,86879.13278018328,11879.132780183281
75000.0,86733.05974456138,11733.059744561382
79000.0,81528.05149025036,2528.0514902503637
64000.0,75734.19189233388,11734.191892333882
72000.0,59683.92442351766,-12316.07557648234
109000.0,106244.83124722265,-2755.1687527773465
96000.0,98155.33113291945,2155.331132919455
171000.0,154277.63005155633,-16722.369948443666
200000.0,226046.6480151233,26046.648015123297
78000.0,88970.68554400683,10970.685544006832
113000.0,108735.32154694828,-4264.678453051718
85000.0,95096.4793008685,10096.479300868494
138000.0,115358.68479002466,-22641.315209975335
98000.0,101494.38945338457,3494.389453384574
211000.0,196526.61232610993,-14473.387673890073
85000.0,80937.29332085482,-4062.70667914518
72000.0,89137.15620265067,17137.156202650673
90000.0,104034.26347991622,14034.263479916219
89000.0,92994.60109164678,3994.6010916467785
75000.0,85356.33116978004,10356.331169780038
74500.0,73282.03771778819,-1217.9622822118108
94000.0,97344.04877366351,3344.0487736635114
65000.0,91758.78673550258,26758.78673550258
66000.0,72219.97756209646,6219.977562096465
75000.0,64590.676947353146,-10409.323052646854
79000.0,99278.51043025113,20278.51043025113
134000.0,111117.72603792536,-22882.273962074643
38000.0,41219.797734340726,3219.7977343407256
76000.0,86941.3473914838,10941.347391483796
120000.0,112321.4304527622,-7678.569547237799
146000.0,154035.76581359835,8035.765813598351
70000.0,70549.53423281052,549.534232810518
101000.0,90841.76529276936,-10158.234707230644
132000.0,120880.15055886608,-11119.84944113392
77000.0,89070.17037319022,12070.170373190223
65000.0,67027.82457505458,2027.8245750545757
166000.0,153720.24192830187,-12279.758071698132
60000.0,59977.35131273572,-22.648687264278124
77000.0,30871.819657323416,-46128.180342676584
50000.0,68003.65072879201,18003.65072879201
85000.0,101232.9069916044,16232.906991604395
107000.0,115593.64939283558,8593.649392835578
58000.0,59114.143534376046,1114.1435343760459
122000.0,101356.29907764429,-20643.70092235571
160000.0,153756.76524060132,-6243.234759398678
185000.0,196436.79893500142,11436.798935001425
60000.0,62018.99001053629,2018.9900105362904
75000.0,64889.699496599715,-10110.300503400285
74500.0,75056.6984755249,556.6984755248995
141000.0,138704.62770625734,-2295.3722937426646
59000.0,67027.82457505458,8027.824575054576
70000.0,66882.66902926788,-3117.330970732117
108000.0,116152.92792585141,8152.927925851414
95000.0,88094.94552147211,-6905.054478527891
133000.0,148537.3373484716,15537.3373484716
51000.0,56863.85115970513,5863.851159705133
46000.0,62882.36491206273,16882.36491206273
225000.0,208901.15114307465,-16098.848856925353
55000.0,67067.5487342125,12067.548734212498
91000.0,98614.07757456401,7614.077574564013
69000.0,76135.70914151316,7135.709141513158
65000.0,74577.73697762584,9577.736977625842
133000.0,134649.91585276273,1649.9158527627296
86500.0,103046.37486687038,16546.374866870377
102000.0,126702.8635501351,24702.863550135095
82000.0,89137.8560799998,7137.856079999794
60000.0,56690.31814491261,-3309.681855087387
172000.0,174278.78837574195,2278.7883757419477
120000.0,105056.30376738339,-14943.69623261661
129000.0,144224.99374540383,15224.99374540383
125000.0,132848.64249401866,7848.642494018655
92000.0,97954.43920516195,5954.439205161951
111000.0,116001.75916402267,5001.759164022675
112500.0,106813.78820220508,-5686.211797794924
58000.0,61472.67423826343,3472.674238263433
