feature,coefficient,feature_std
area,26695.14428367281,12.21386109354784
building_age,-12511.211503560757,15.588730818185505
building_size,5997.5142734187975,3.300754784065641
floor,772.5437620614371,2.231501942379203
floor_plan_1K,-2753.750155955576,0.49563377869764763
floor_plan_1LDK,5469.043397636256,0.33118747868785764
floor_plan_1R,-2119.879654445943,0.44437513139255197
floor_plan_1SK,-671.5080904594518,0.04566728791638458
floor_plan_1SLDK,461.95230070325505,0.05590151651398344
floor_plan_2DK,1302.0193725017318,0.1655838587544428
floor_plan_2K,-95.86005524119905,0.12006358076208576
floor_plan_2LDK,4392.590703512555,0.19527515381009458
floor_plan_2SDK,1242.8302584669918,0.03230853348756193
floor_plan_2SLDK,1813.1562600407685,0.05590151651398344
floor_plan_3DK,1668.2393968318465,0.06451570680766436
floor_plan_3K,981.9612199166077,0.06451570680766436
floor_plan_3LDK,4585.237712952569,0.1016870024356879
