url,title,address,rent,management_fee,deposit,key_money,floor,floor_plan,area,building_age,building_size,nearest_station,distance_to_nearest_station,avg_distance_to_stations,avg_rent_by_station,avg_rent_by_floor_plan,count_listings_per_station,count_listings_per_floor_plan,anomaly_label,anomaly_score
https://suumo.jp/chintai/jnc_000106881764/?bc=100430407211,VILLA SC,東京都新宿区高田馬場３,100000.0,4000.0,100000.0,100000.0,2,1K,24.54,23,2,高田馬場駅,7,12.33,151619.57,98445.68,276,1447,1,0.13647182739709007
https://suumo.jp/chintai/jnc_000105103261/?bc=100474121155,グローリオシェルト高田馬場,東京都新宿区高田馬場４,155000.0,8000.0,,155000.0,4,1LDK,28.88,0,4,高田馬場駅,10,11.00,151619.57,170377.07,276,811,1,0.10539930785110113
https://suumo.jp/chintai/jnc_000106662782/?bc=100504997251,ＪＲ山手線 高田馬場駅 12階建 築24年,東京都新宿区下落合２,78000.0,9000.0,78000.0,156000.0,1,1K,20.91,24,12,高田馬場駅,7,7.00,151619.57,98445.68,276,1447,1,0.0942987045296445
https://suumo.jp/chintai/jnc_000105103260/?bc=100474121162,グローリオシェルト高田馬場,東京都新宿区高田馬場４,175000.0,8000.0,,175000.0,3,1LDK,32.52,0,4,高田馬場駅,10,11.00,151619.57,170377.07,276,811,1,0.11409937138310378
https://suumo.jp/chintai/jnc_000105562570/?bc=100503912836,ディップス高田馬場駅前,東京都新宿区高田馬場４,149000.0,12000.0,,,2,1K,25.44,8,4,高田馬場駅,2,9.67,151619.57,98445.68,276,1447,1,0.11310458345920832
https://suumo.jp/chintai/jnc_000106978466/?bc=100505442263,ダイホープラザ高田馬場II,東京都新宿区高田馬場３,66000.0,7000.0,66000.0,66000.0,9,1R,17.16,30,11,高田馬場駅,8,9.67,151619.57,82826.39,276,879,1,0.023335797876394004
https://suumo.jp/chintai/jnc_000106719659/?bc=100503522734,ＪＲ山手線 高田馬場駅 14階建 築57年,東京都新宿区下落合２,180000.0,9000.0,180000.0,180000.0,3,2SDK,51.69,57,14,高田馬場駅,5,7.33,151619.57,253333.33,276,3,1,0.0019171642927757748
https://suumo.jp/chintai/jnc_000105478648/?bc=100495080649,グランハイツ高田馬場,東京都新宿区高田馬場３,159000.0,15000.0,159000.0,159000.0,4,1DK,32.77,17,15,高田馬場駅,4,9.67,151619.57,130743.78,276,402,1,0.11179131052708663
https://suumo.jp/chintai/jnc_000106460195/?bc=100501903767,ルネサンスコート高田馬場Patria,東京都新宿区高田馬場３,181000.0,10000.0,,,4,1LDK,30.33,3,4,高田馬場駅,7,11.00,151619.57,170377.07,276,811,1,0.11446093778937488
https://suumo.jp/chintai/jnc_000106837371/?bc=100504646559,トーシンフェニックス目白,東京都新宿区下落合２,156000.0,15000.0,,156000.0,3,2DK,40.32,25,4,高田馬場駅,8,10.00,151619.57,135945.31,276,128,1,0.04968998795444424
