title,address,building_age,building_size,stations,nearest_station,distance_to_nearest_station,avg_distance_to_stations,url,rent,management_fee,deposit,key_money,floor,floor_plan,area
ＲＥＳＩＤＥＮＣＥ東中野(レジデンス東中野),東京都中野区東中野５,築20年,5階建,"東京メトロ東西線/落合駅 歩8分,西武新宿線/下落合駅 歩10分,都営大江戸線/中井駅 歩11分",落合駅,8,9.66666666666667,https://suumo.jp/chintai/jnc_000103929296/?bc=100481659038,14.8万円,5000円,14.8万円,14.8万円,4-5階,1LDK,47.65m2
ＲＥＳＩＤＥＮＣＥ東中野(レジデンス東中野),東京都中野区東中野５,築20年,5階建,"東京メトロ東西線/落合駅 歩8分,西武新宿線/下落合駅 歩10分,都営大江戸線/中井駅 歩11分",落合駅,8,9.66666666666667,https://suumo.jp/chintai/jnc_000102405268/?bc=100469209458,14.8万円,5000円,14.8万円,14.8万円,4階,1LDK,45.03m2
あおばトラスト中落合,東京都新宿区中落合３,築13年,3階建,"都営大江戸線/落合南長崎駅 歩4分,西武新宿線/中井駅 歩13分,西武池袋線/東長崎駅 歩16分",落合南長崎駅,4,11.0,https://suumo.jp/chintai/jnc_000103813463/?bc=100485820672,7.7万円,3000円,-,7.7万円,2階,1K,17.76m2
あおばトラスト中落合,東京都新宿区中落合３,築13年,3階建,"都営大江戸線/落合南長崎駅 歩4分,西武新宿線/中井駅 歩13分,西武池袋線/東長崎駅 歩16分",落合南長崎駅,4,11.0,https://suumo.jp/chintai/jnc_000102477304/?bc=100474745216,7.7万円,3000円,-,7.7万円,2階,1K,17.22m2
あおばトラスト中落合,東京都新宿区中落合３,築13年,3階建,"都営大江戸線/落合南長崎駅 歩4分,西武新宿線/中井駅 歩13分,西武池袋線/東長崎駅 歩16分",落合南長崎駅,4,11.0,https://suumo.jp/chintai/jnc_000103717084/?bc=100480354533,7.7万円,3000円,-,7.7万円,2階,1K,16.84m2
インテック落合,東京都新宿区上落合２,築37年,2階建,"都営大江戸線/中井駅 歩3分,東京メトロ東西線/落合駅 歩5分,西武新宿線/下落合駅 歩7分",中井駅,3,5.0,https://suumo.jp/chintai/jnc_000103873075/?bc=100481285925,6.2万円,3000円,-,-,2階,ワンルーム,20m2
エコー中落合,東京都新宿区中落合４,築35年,3階建,"都営大江戸線/落合南長崎駅 歩4分,西武新宿線/中井駅 歩8分,東京メトロ東西線/落合駅 歩18分",落合南長崎駅,4,10.0,https://suumo.jp/chintai/jnc_000097784401/?bc=100431542916,4.3万円,-,4.3万円,4.3万円,3階,ワンルーム,12m2
エコー中落合,東京都新宿区中落合４,築35年,3階建,"都営大江戸線/落合南長崎駅 歩4分,西武新宿線/中井駅 歩8分,東京メトロ東西線/落合駅 歩18分",落合南長崎駅,4,10.0,https://suumo.jp/chintai/jnc_000089397489/?bc=100481715977,4.5万円,-,4.5万円,4.5万円,2階,ワンルーム,12m2
都営大江戸線 落合南長崎駅 3階建 築35年,東京都新宿区中落合４,築35年,3階建,"都営大江戸線/落合南長崎駅 歩4分,西武新宿線/中井駅 歩8分,東京メトロ東西線/落合駅 歩17分",落合南長崎駅,4,9.66666666666667,https://suumo.jp/chintai/jnc_000091337339/?bc=100465268300,4.5万円,-,4.5万円,4.5万円,3階,ワンルーム,12m2
美宝ハイツ,東京都新宿区上落合２,築39年,3階建,"東京メトロ東西線/落合駅 歩3分,西武新宿線/中井駅 歩5分,西武新宿線/下落合駅 歩11分",落合駅,3,6.33333333333333,https://suumo.jp/chintai/jnc_000104454667/?bc=100485766855,6.2万円,3000円,6.2万円,-,2階,ワンルーム,16.84m2
西武新宿線 下落合駅 10階建 築28年,東京都新宿区上落合１,築28年,10階建,"西武新宿線/下落合駅 歩6分,西武新宿線/中井駅 歩10分,東京メトロ東西線/落合駅 歩13分",下落合駅,6,9.66666666666667,https://suumo.jp/chintai/jnc_000103937410/?bc=100486174963,16.5万円,13000円,16.5万円,16.5万円,7階,1LDK,40.04m2
MKC新井薬師ハイツ,東京都中野区上高田５,築41年,3階建,"西武新宿線/新井薬師前駅 歩4分,東京メトロ東西線/落合駅 歩20分,都営大江戸線/落合南長崎駅 歩18分",新井薬師前駅,4,14.0,https://suumo.jp/chintai/jnc_000103735165/?bc=100482171854,5.5万円,5000円,5.5万円,-,3階,ワンルーム,14.85m2
MKC新井薬師ハイツ,東京都中野区上高田５,築41年,3階建,"西武新宿線/新井薬師前駅 歩4分,東京メトロ東西線/落合駅 歩20分,都営大江戸線/落合南長崎駅 歩18分",新井薬師前駅,4,14.0,https://suumo.jp/chintai/jnc_000104261935/?bc=100484601319,5.5万円,5000円,5.5万円,-,2階,ワンルーム,14.85m2
クレスト五の坂,東京都新宿区中井２,築28年,2階建,"都営大江戸線/中井駅 歩7分,東京メトロ東西線/落合駅 歩13分,都営大江戸線/落合南長崎駅 歩11分",中井駅,7,10.3333333333333,https://suumo.jp/chintai/jnc_000103928525/?bc=100481654064,14.5万円,6500円,-,21.75万円,1階,1LDK,42.2m2
都営大江戸線 落合南長崎駅 2階建 築14年,東京都新宿区西落合１,築14年,2階建,"都営大江戸線/落合南長崎駅 歩6分,西武新宿線/中井駅 歩14分,西武新宿線/新井薬師前駅 歩17分",落合南長崎駅,6,12.3333333333333,https://suumo.jp/chintai/jnc_000104398995/?bc=100485356356,7.4万円,4000円,-,-,2階,1K,20.44m2
カーサピアッツァ新宿西落合,東京都新宿区西落合１,築5年,4階建,"都営大江戸線/落合南長崎駅 歩7分,西武新宿線/中井駅 歩15分,西武新宿線/新井薬師前駅 歩15分",落合南長崎駅,7,12.3333333333333,https://suumo.jp/chintai/jnc_000104473677/?bc=100485886122,9.7万円,3000円,9.7万円,9.7万円,2階,1K,18.8m2
ハピネス中井,東京都新宿区中落合１,築36年,2階建,"西武新宿線/中井駅 歩2分,東京メトロ東西線/落合駅 歩8分,西武新宿線/下落合駅 歩8分",中井駅,2,6.0,https://suumo.jp/chintai/jnc_000084454337/?bc=100469626968,5.8万円,2000円,5.8万円,-,1階,ワンルーム,17.12m2
西武新宿線 中井駅 2階建 築36年,東京都新宿区中落合１,築36年,2階建,"西武新宿線/中井駅 歩2分,東京メトロ東西線/落合駅 歩8分,西武新宿線/下落合駅 歩8分",中井駅,2,6.0,https://suumo.jp/chintai/jnc_000102457936/?bc=100473971696,5.8万円,2000円,5.8万円,-,1階,ワンルーム,17.12m2
都営大江戸線 落合南長崎駅 5階建 築5年,東京都新宿区西落合１,築5年,5階建,"都営大江戸線/落合南長崎駅 歩7分,西武新宿線/中井駅 歩13分,西武新宿線/新井薬師前駅 歩14分",落合南長崎駅,7,11.3333333333333,https://suumo.jp/chintai/jnc_000103662825/?bc=100479467890,10.9万円,12000円,-,10.9万円,2階,1K,25.51m2
都営大江戸線 落合南長崎駅 5階建 築5年,東京都新宿区西落合１,築5年,5階建,"都営大江戸線/落合南長崎駅 歩7分,西武新宿線/中井駅 歩13分,西武新宿線/新井薬師前駅 歩14分",落合南長崎駅,7,11.3333333333333,https://suumo.jp/chintai/jnc_000103770594/?bc=100480404514,10.9万円,12000円,-,10.9万円,2階,1K,25.51m2
ウインズ落合,東京都新宿区上落合２,築36年,10階建,"東京メトロ東西線/落合駅 歩6分,都営大江戸線/中井駅 歩1分,ＪＲ中央線/東中野駅 歩13分",中井駅,1,6.66666666666667,https://suumo.jp/chintai/jnc_000103959497/?bc=100481904247,6.5万円,-,6.5万円,6.5万円,2階,ワンルーム,16.94m2
ウインズ落合,東京都新宿区上落合２,築36年,10階建,"東京メトロ東西線/落合駅 歩6分,都営大江戸線/中井駅 歩1分,ＪＲ中央線/東中野駅 歩13分",中井駅,1,6.66666666666667,https://suumo.jp/chintai/jnc_000103947305/?bc=100442376124,6.4万円,4000円,6.4万円,-,4階,ワンルーム,16.94m2
ウインズ落合,東京都新宿区上落合２,築36年,10階建,"東京メトロ東西線/落合駅 歩6分,都営大江戸線/中井駅 歩1分,ＪＲ中央線/東中野駅 歩13分",中井駅,1,6.66666666666667,https://suumo.jp/chintai/jnc_000104049637/?bc=100482507404,6.5万円,5000円,6.5万円,6.5万円,2階,ワンルーム,14.47m2
イアース新宿中井,東京都新宿区中井１,築7年,4階建,"都営大江戸線/中井駅 歩6分,東京メトロ東西線/落合駅 歩12分,西武新宿線/新井薬師前駅 歩14分",中井駅,6,10.6666666666667,https://suumo.jp/chintai/jnc_000103510639/?bc=100483906907,10万円,14000円,-,10万円,2階,1K,25.64m2
イアース新宿中井,東京都新宿区中井１,築7年,4階建,"都営大江戸線/中井駅 歩6分,東京メトロ東西線/落合駅 歩12分,西武新宿線/新井薬師前駅 歩14分",中井駅,6,10.6666666666667,https://suumo.jp/chintai/jnc_000103505756/?bc=100484989481,10万円,14000円,-,10万円,3階,1K,25.22m2
イアース新宿中井,東京都新宿区中井１,築7年,4階建,"都営大江戸線/中井駅 歩6分,東京メトロ東西線/落合駅 歩12分,西武新宿線/新井薬師前駅 歩14分",中井駅,6,10.6666666666667,https://suumo.jp/chintai/jnc_000103863961/?bc=100481330552,10.1万円,14000円,-,10.1万円,3階,1K,25.64m2
都営大江戸線 落合南長崎駅 2階建 築65年,東京都新宿区西落合２,築65年,2階建,"都営大江戸線/落合南長崎駅 歩10分,西武新宿線/新井薬師前駅 歩11分,西武新宿線/中井駅 歩14分",落合南長崎駅,10,11.6666666666667,https://suumo.jp/chintai/jnc_000098284159/?bc=100485343692,5.37万円,4300円,5.37万円,5.37万円,1階,ワンルーム,16.5m2
